
Active Connections

  Proto  Local Address          Foreign Address        State           Offload State
  TCP    127.0.0.1:6880         127.0.0.1:58782        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58783        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58784        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58785        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58786        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58787        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58788        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58789        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58790        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58791        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58792        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58793        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58794        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58795        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58796        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58797        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58798        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58799        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58801        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58802        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58803        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58804        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58805        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58806        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58807        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58808        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58809        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58810        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58811        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58812        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58813        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58814        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58815        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58816        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58817        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58818        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58819        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58820        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58831        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58832        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58833        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58834        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58835        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58836        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58837        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58838        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58839        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58840        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58841        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58842        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58843        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58844        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58845        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58846        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58847        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58848        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58849        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58850        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58851        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58852        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58853        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58854        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58855        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58856        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58857        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58858        TIME_WAIT       InHost      
  TCP    127.0.0.1:9990         0.0.0.0:0              LISTENING       InHost      
  TCP    127.0.0.1:17600        0.0.0.0:0              LISTENING       InHost      
  TCP    127.0.0.1:17603        0.0.0.0:0              LISTENING       InHost      
  TCP    127.0.0.1:19872        127.0.0.1:49326        ESTABLISHED     InHost      
  TCP    127.0.0.1:23401        0.0.0.0:0              LISTENING       InHost      
  TCP    127.0.0.1:24801        0.0.0.0:0              LISTENING       InHost      
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING       InHost      
  TCP    127.0.0.1:27015        127.0.0.1:49331        ESTABLISHED     InHost      
  TCP    127.0.0.1:27015        127.0.0.1:61646        ESTABLISHED     InHost      
  TCP    127.0.0.1:41443        0.0.0.0:0              LISTENING       InHost      
  TCP    127.0.0.1:49157        127.0.0.1:5354         ESTABLISHED     InHost      
  TCP    127.0.0.1:49158        127.0.0.1:5354         ESTABLISHED     InHost      
  TCP    127.0.0.1:49160        127.0.0.1:49161        ESTABLISHED     InHost      
  TCP    127.0.0.1:49161        127.0.0.1:49160        ESTABLISHED     InHost      
  TCP    127.0.0.1:49162        127.0.0.1:49163        ESTABLISHED     InHost      
  TCP    127.0.0.1:49163        127.0.0.1:49162        ESTABLISHED     InHost      
  TCP    127.0.0.1:49164        0.0.0.0:0              LISTENING       InHost      
  TCP    127.0.0.1:49214        127.0.0.1:65001        ESTABLISHED     InHost      
  TCP    127.0.0.1:49233        127.0.0.1:5354         ESTABLISHED     InHost      
  TCP    127.0.0.1:49240        127.0.0.1:49241        ESTABLISHED     InHost      
  TCP    127.0.0.1:49241        127.0.0.1:49240        ESTABLISHED     InHost      
  TCP    127.0.0.1:49320        127.0.0.1:5354         ESTABLISHED     InHost      
  TCP    127.0.0.1:49321        127.0.0.1:5354         ESTABLISHED     InHost      
  TCP    127.0.0.1:49323        127.0.0.1:5354         ESTABLISHED     InHost      
  TCP    127.0.0.1:49326        127.0.0.1:19872        ESTABLISHED     InHost      
  TCP    127.0.0.1:49331        127.0.0.1:27015        ESTABLISHED     InHost      
  TCP    127.0.0.1:49341        127.0.0.1:49342        ESTABLISHED     InHost      
  TCP    127.0.0.1:49342        127.0.0.1:49341        ESTABLISHED     InHost      
  TCP    127.0.0.1:58654        127.0.0.1:4370         TIME_WAIT       InHost      
  TCP    127.0.0.1:58707        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58708        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58709        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58711        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58712        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58713        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58714        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58716        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58717        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58718        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58719        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58720        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58721        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58722        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58723        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58724        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58725        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58726        127.0.0.1:4370         TIME_WAIT       InHost      
  TCP    127.0.0.1:58736        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58737        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58738        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58739        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58740        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58741        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58742        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58743        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58744        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58745        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58746        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58747        127.0.0.1:4370         TIME_WAIT       InHost      
  TCP    127.0.0.1:58757        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58761        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58762        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58763        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58764        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58765        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58766        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58767        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58768        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58769        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58770        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58772        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58773        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58774        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58775        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58776        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58777        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58778        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58779        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58780        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58781        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58782        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58783        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58784        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58785        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58786        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58787        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58788        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58789        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58790        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58791        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58792        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58793        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58794        127.0.0.1:6880         TIME_WAIT       InHost      
